股票代码,股票简称,最新公告日期,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),季度环比增长(%),利润分配,所处行业
000001,平安银行,2024-03-15 00:00:00,2.25,164699000000,46455000000,11.38,-8.4471497262,2.1,20.735030402968,4.764557353396,None,-5.02,-52.1336,10派7.19元(含税),银行
000002,万科A,2024-03-29 00:00:00,1.03,465739076702.23,12162684368.86,4.91,-7.5618081363,-46.39,21.020092226197,0.327920475276,15.2349718402,96.1962,-138.8907,不分配不转增,房地产开发
000004,国华网安,2024-04-30 00:00:00,-1.1835,110048548.32,-156992891.72,-57.28,-33.8901998434,73.62,1.477365316913,-0.272328399255,57.6004741341,-39.2793,-1574.5161,不分配不转增,软件开发
000006,深振业A,2024-04-27 00:00:00,-0.5946,2810603447.85,-802652783.79,-10.79,-24.033916607,-291.28,5.164567898051,0.053898843381,39.1101028269,682.6945,-8150.3394,不分配不转增,房地产开发
000007,*ST全新,2024-04-29 00:00:00,0.1038,216387969.48,35969277.16,33.17,-2.015081058,773.5,0.362998140726,0.550176732474,21.5491519755,27.5784,2048.0168,不分配不转增,房地产服务
000008,神州高铁,2024-04-16 00:00:00,-0.31,2511647824.07,-828273298.53,-20.89,41.6646704555,2.13,1.307555109681,0.011437717014,24.412349279,148.3988,-1004.9111,不分配不转增,交运设备
000009,中国宝安,2024-04-16 00:00:00,0.29,30706431930.72,756459343.67,7.91,-4.1407629123,-34.63,3.850860625695,2.311429126063,20.7977920054,-24.7576,-58.2888,10派0.45元(含税),综合行业
000010,美丽生态,2024-04-27 00:00:00,-0.4712,302915567.26,-498883121.73,-106.02,-50.5890324912,6.89,0.204428781202,-0.147967193284,9.6959571625,11.6167,-635.0172,不分配不转增,工程建设
000011,深物业A,2024-03-30 00:00:00,0.7786,2965117025.04,464014492.11,10.26,-20.0490260095,-13.64,7.822103814256,-0.443124579159,24.673280561,3.0524,2126.8544,10派3.12元(含税),房地产开发
000012,南玻A,2024-04-26 00:00:00,0.54,18194864366,1655614446,12.3,19.7132385564,-18.73,4.575789342399,0.898751420798,22.2798703714,-7.3795,-67.2653,10派2.50元(含税),玻璃玻纤
000014,沙河股份,2024-03-30 00:00:00,2.16,1389212866.56,521765764.33,36.93,81.9289664245,109.82,6.855644782668,1.982728778822,66.5904887377,-1.9515,-52.4328,10派2.16元(含税),房地产开发
000016,深康佳A,2024-04-02 00:00:00,-0.8986,17849331429.24,-2163790053.17,-32.58,-39.7142012543,-47.15,2.344073568237,0.229698429234,3.9233664382,-32.5111,-177.7672,不分配不转增,家电行业
000017,深中华A,2024-04-23 00:00:00,0.03,568481907.92,17901948.24,6.22,27.8170354922,335.05,0.448009280783,0.043490258108,6.4867053879,296.3342,6604.27,不分配不转增,珠宝首饰
000019,深粮控股,2024-04-16 00:00:00,0.3018,6190005356.82,347824733.68,7.26,-25.5357683218,-17.34,4.185947533575,0.508285238267,15.5276045831,3.836,-30.6101,10派2.00元(含税),贸易行业
000020,深华发A,2024-04-23 00:00:00,0.0471,726541177.76,13342311.52,3.7,9.3471953862,31.74,1.295801411399,0.4062536623,10.3437966478,-44.5302,-80.3395,不分配不转增,光学光电子
000021,深科技,2024-04-11 00:00:00,0.4131,14264648386.89,644601244.53,6.06,-11.5007049831,-2.19,7.024365455078,1.282999236247,16.6458180217,1.9318,32.3337,10派1.30元(含税),消费电子
000023,*ST深天,2024-04-30 00:00:00,-1.1498,177660223.63,-159545385.95,None,-51.0628610271,41.07,-0.140559952835,-0.103461687345,0.8004580659,-14.9448,-434.203,不分配不转增,水泥建材
000025,特力A,2024-03-28 00:00:00,0.2743,1846738841.89,118255140.84,7.59,120.4649923944,41.63,3.720853955284,-0.139517099357,10.7433513494,21.4049,50.6872,10派0.31元(含税),珠宝首饰
000026,飞亚达,2024-03-14 00:00:00,0.8082,4569690002.99,333178102.37,10.28,4.9515003583,24.93,8.029011109918,1.523051716371,36.4188058072,-10.3456,-13.4883,10派4.00元(含税),珠宝首饰
000027,深圳能源,2024-04-20 00:00:00,0.27,40504495415.84,2045935089,4.52,7.9408426434,-6.94,6.141449814983,2.507666391564,22.5500157668,0.5218,-185.3826,10派1.40元(含税),电力行业
000028,国药一致,2024-04-08 00:00:00,2.87,75477484620.31,1599255755.53,9.56,2.7699628796,7.57,31.289797812916,5.277260110375,11.9930587312,3.8096,13.9616,10派6.80元(含税),医药商业
000029,深深房A,2024-03-30 00:00:00,-0.2479,530887720.68,-250839542.09,-6.52,-16.3145270289,-263.18,3.648540501947,1.032992554999,16.2162497316,94.6757,-31319.4695,不分配不转增,房地产开发
